Lang Num	Participant Num	Term Num	Foci Chip	Name at End	Same Term
1	1	2	A0		
1	1	5	D9		
1	1	5	D10		
1	1	5	D11		
1	1	5	D12		
1	1	4	D25		
1	1	1	J0		
1	1	6	F17		
1	1	3	F1	3	True
1	1	3	F2	3	True
1	1	3	F3	3	True
1	1	3	G1	3	True
1	1	3	G2	3	True
1	1	3	G3	3	True
1	2	2	A0		
1	2	7	C1		
1	2	7	C2		
1	2	7	C3		
1	2	7	C4		
1	2	7	C5		
1	2	5	E1		
1	2	3	G1	3	True
1	2	3	G2	3	True
1	2	1	J0		
1	2	6	I29	6	True
1	2	6	I30	6	True
1	3	2	A0		
1	3	3	F1	3	True
1	3	3	F2	3	True
1	3	3	F3	3	True
1	3	5	E3		
1	3	7	D12		
1	3	7	I5		
1	3	4	B20	2	False
1	3	4	B21	2	False
1	3	4	B22		
1	3	4	B23	2	False
1	3	1	J0		
1	4	2	A0		
1	4	4	B5	2	False
1	4	5	E5		
1	4	3	G2	3	True
1	4	1	J0		
1	5	2	A20		
1	5	5	C10		
1	5	4	C13		
1	5	9	D13		
1	5	3	G2	3	True
1	5	1	G27	6	False
1	6	2	A0		
1	6	5	D2		
1	6	5	D3		
1	6	5	D4		
1	6	5	D5		
1	6	3	G1	3	True
1	6	3	G2	3	True
1	6	1	J0		
1	6	6	F27	6	True
1	6	6	F28		
1	6	4	C37		
1	6	4	C38	5	False
1	6	4	C39	4	True
1	7	2	A0		
1	7	4	C11	4	True
1	7	5	B12		
1	7	6	F29	6	True
1	7	1	J0		
1	7	7	H17		
1	7	3	I1		
1	8	2	A0		
1	8	7	E4		
1	8	5	E2		
1	8	4	B12		
1	8	6	F26	6	True
1	8	1	J0		
1	8	3	G2	3	True
1	9	2	A0		
1	9	7	C10		
1	9	5	C11		
1	9	4	C35	4	True
1	9	3	F1	3	True
1	9	3	F2	3	True
1	9	3	F3	3	True
1	9	3	F4	3	True
1	9	1	J0		
1	9	6	H28	6	True
1	10	2	A0		
1	10	4	D31		
1	10	4	D32		
1	10	4	D33		
1	10	5	D38		
1	10	6	G30		
1	10	1	J0		
1	10	3	G1	3	True
1	11	2	A0		
1	11	5	C1		
1	11	5	C2		
1	11	5	C3		
1	11	5	C4		
1	11	5	C5		
1	11	4	B1		
1	11	4	B2		
1	11	4	B3		
1	11	4	B4		
1	11	4	B5		
1	11	4	B6		
1	11	4	B7		
1	11	8	C25		
1	11	8	C26		
1	11	8	C27		
1	11	8	C28		
1	11	7	E33		
1	11	7	E34		
1	11	7	E35		
1	11	6	G27		
1	11	6	G28	6	True
1	11	6	G29	6	True
1	11	1	J0		
1	11	3	G1	3	True
1	12	2	A0		
1	12	7	D4		
1	12	7	D5		
1	12	7	D6		
1	12	7	D7		
1	12	7	D8		
1	12	7	D9		
1	12	4	C1	5	False
1	12	4	C2		
1	12	4	C3	5	False
1	12	3	F1	3	True
1	12	3	F2	3	True
1	12	3	F3		
1	12	1	J0		
1	12	6	F30	6	True
1	13	2	A0		
1	13	5	D6		
1	13	5	D7		
1	13	7	E23		
1	13	4	C28		
1	13	4	C29	2	False
1	13	4	C30	2	False
1	13	8	D28		
1	13	8	D29		
1	13	8	D30		
1	13	6	G30	6	True
1	13	1	J19		
1	13	3	G2	3	True
1	13	3	G3	3	True
1	14	2	A0		
1	14	5	C4		
1	14	5	C5		
1	14	5	C6		
1	14	4	B7		
1	14	4	B8		
1	14	4	B9		
1	14	3	G1	3	True
1	14	3	G2	3	True
1	14	3	G3	3	True
1	14	6	F30	6	True
1	14	6	F31	6	True
1	14	6	G30	6	True
1	14	6	G31	6	True
1	14	8	B35		
1	14	8	B36		
1	14	8	B37		
1	14	8	B38		
1	14	8	B39		
1	14	8	B40		
1	14	7	D36		
1	14	7	D37		
1	14	7	D38		
1	14	7	D39		
1	14	7	D40		
1	14	1	J0		
1	15	2	A0		
1	15	1	J0		
1	15	4	C1	5	False
1	15	4	C2		
1	15	4	C3	5	False
1	15	4	C4	4	True
1	15	4	C5	5	False
1	15	4	C35	4	True
1	15	4	C36	4	True
1	15	4	C37	4	True
1	15	4	C38	5	False
1	15	4	C39	4	True
1	15	4	C40	5	False
1	15	5	E38		
1	15	5	E39		
1	15	5	E40		
1	15	6	F32	6	True
1	15	3	G1	3	True
1	16	2	A0		
1	16	5	B16		
1	16	4	C20	4	True
1	16	6	E18		
1	16	7	C27		
1	16	1	G31		
1	16	3	F1	3	True
1	17	2	A0		
1	17	5	D8		
1	17	4	D12	4	True
1	17	4	E12		
1	17	3	F1	3	True
1	17	3	F2	3	True
1	17	3	G1	3	True
1	17	3	G2	3	True
1	17	1	J0		
1	17	6	F28		
1	18	2	A0		
1	18	4	C4	4	True
1	18	5	D5		
1	18	7	D25		
1	18	3	F2	3	True
1	18	3	F3	3	True
1	18	1	J0		
1	19	2	A0		
1	19	5	F6		
1	19	4	B9		
1	19	4	B10		
1	19	4	B11		
1	19	6	G29		
1	19	3	F1	3	True
1	19	1	J0		
1	19	7	H1		
1	20	3	F3	3	True
1	20	4	E14		
1	20	2	A23		
1	20	1	J24		
1	20	5	F35		
1	21	2	A0		
1	21	4	B3		
1	21	4	B4	2	False
1	21	4	B5		
1	21	5	F7		
1	21	5	F8		
1	21	7	E9		
1	21	7	E10		
1	21	3	G1	3	True
1	21	3	G2	3	True
1	21	3	G3	3	True
1	21	1	J0		
1	21	6	G29	6	True
1	22	2	A0		
1	22	5	E1		
1	22	3	G1	3	True
1	22	1	J0		
1	22	4	B20		
1	22	7	C22		
1	22	6	G30	6	True
1	23	4	B1	2	False
1	23	4	B2	2	False
1	23	4	B3	2	False
1	23	4	B4	2	False
1	23	5	C1		
1	23	6	F30	6	True
1	23	3	F1	3	True
1	23	7	F0		
